slang	formal
gue belom kerja tugas dari sklh	saya belum kerja tugas dari sekolah
hari ini gue mo bobok dengan lu	hari ini saya mau tidur dengan kamu
gw lg kerja di sklh	saya sedang kerja di sekolah
gw akan tdr jika lu mau	saya akan tidur jika kamu mau
gua belom ngantor tugas dari sklh	saya belum kerja tugas dari sekolah
ntr gue ngbrl setelah makan	nanti saya ngobrol setelah makan
gua lg main di kantor	saya sedang main di kantor
gw belom ngantor tugas dari sekolah	saya belum kerja tugas dari sekolah
gue lagi mkn di kafe	saya sedang makan di kafe
bsk gue akan belajar ke kampus	besok saya akan belajar ke kampus
gue lg bljr di rmh	saya sedang belajar di rumah
ntar gua makan setelah mkn	nanti saya makan setelah makan
gue lg makan di sekolah	saya sedang makan di sekolah
gua sdh kerja dan ingin istirahat	saya sudah kerja dan ingin istirahat
kmren gua main bersama tmn	kemarin saya main bersama teman
ntr gw pergi setelah mkn	nanti saya pergi setelah makan
gue ga makan karena sakit	saya tidak makan karena sakit
gue sdh bljr dan ingin istirahat	saya sudah belajar dan ingin istirahat
gw ga belajar karena sakit	saya tidak belajar karena sakit
besok gua akan mkn ke rumah	besok saya akan makan ke rumah
ntar gua jln setelah mkn	nanti saya pergi setelah makan
besok gua akan pergi ke kafe	besok saya akan pergi ke kafe
gue sdh ngobrol dan ingin istirahat	saya sudah ngobrol dan ingin istirahat
kmrn gw bljr bersama sobat	kemarin saya belajar bersama teman
gua udah main dan ingin istirahat	saya sudah main dan ingin istirahat
gue lagi bljr di kantor	saya sedang belajar di kantor
gue belom ngobrol tugas dari sekolah	saya belum ngobrol tugas dari sekolah
gue lg pergi di sklh	saya sedang pergi di sekolah
besok gw akan minum ke rmh	besok saya akan minum ke rumah
gue udah ngbrl dan ingin istirahat	saya sudah ngobrol dan ingin istirahat
ntar gua minum setelah makan	nanti saya minum setelah makan
gua lg mkn di sekolah	saya sedang makan di sekolah
gw blm ngbrl tugas dari sklh	saya belum ngobrol tugas dari sekolah
gw udah jln dan ingin istirahat	saya sudah pergi dan ingin istirahat
gua ingin main di rumah saja	saya ingin main di rumah saja
gua blm minum tugas dari sklh	saya belum minum tugas dari sekolah
gue ingin mnm di rmh saja	saya ingin minum di rumah saja
kmrn gw tdr bersama sobat	kemarin saya tidur bersama teman
kmrn gua jln bersama sobat	kemarin saya pergi bersama teman
hari ini gw mo ngobrol dengan kamu	hari ini saya mau ngobrol dengan kamu
ntar gue ngobrol setelah mkn	nanti saya ngobrol setelah makan
kmrn gue belajar bersama sobat	kemarin saya belajar bersama teman
gua akan maen jika lo mo	saya akan main jika kamu mau
bsk gua akan mnm ke sklh	besok saya akan minum ke sekolah
gue belom ngobrol tugas dari sklh	saya belum ngobrol tugas dari sekolah
hari ini gue mo main dengan lo	hari ini saya mau main dengan kamu
gua udah bljr dan ingin istirahat	saya sudah belajar dan ingin istirahat
gw belom main tugas dari sklh	saya belum main tugas dari sekolah
gua lg main di sklh	saya sedang main di sekolah
gue lg pergi di warung	saya sedang pergi di warung
gua sdh bobok dan ingin istirahat	saya sudah tidur dan ingin istirahat
kmren gue bobok bersama sobat	kemarin saya tidur bersama teman
kmren gw pergi bersama sobat	kemarin saya pergi bersama teman
gw lagi main di warung	saya sedang main di warung
gue ingin bljr di rmh saja	saya ingin belajar di rumah saja
hari ini gw mau belajar dengan lo	hari ini saya mau belajar dengan kamu
gw blm ngobrol tugas dari sklh	saya belum ngobrol tugas dari sekolah
gue akan ngantor jika lo mau	saya akan kerja jika kamu mau
gw sdh bobok dan ingin istirahat	saya sudah tidur dan ingin istirahat
gw ingin maen di rmh saja	saya ingin main di rumah saja
ntr gue minum setelah mkn	nanti saya minum setelah makan
ntr gua ngbrl setelah makan	nanti saya ngobrol setelah makan
gua lagi ngbrl di rumah	saya sedang ngobrol di rumah
gue akan tdr jika kamu mau	saya akan tidur jika kamu mau
gua udah mnm dan ingin istirahat	saya sudah minum dan ingin istirahat
ntr gua jalan setelah makan	nanti saya pergi setelah makan
gua belom ngbrl tugas dari sekolah	saya belum ngobrol tugas dari sekolah
gua lg belajar di sklh	saya sedang belajar di sekolah
gw ga jalan karena sakit	saya tidak pergi karena sakit
ntr gua ngobrol setelah mkn	nanti saya ngobrol setelah makan
gua lagi ngantor di kafe	saya sedang kerja di kafe
ntar gw bobok setelah mkn	nanti saya tidur setelah makan
gw ga ngantor karena sakit	saya tidak kerja karena sakit
hari ini gue mau belajar dengan lu	hari ini saya mau belajar dengan kamu
kmrn gua mnm bersama sobat	kemarin saya minum bersama teman
bsk gua akan bljr ke warung	besok saya akan belajar ke warung
gw gk jln karena sakit	saya tidak pergi karena sakit
gue ingin ngobrol di rumah saja	saya ingin ngobrol di rumah saja
gue blm ngobrol tugas dari sekolah	saya belum ngobrol tugas dari sekolah
gua gk makan karena sakit	saya tidak makan karena sakit
kmren gua ngantor bersama tmn	kemarin saya kerja bersama teman
gue ingin makan di rmh saja	saya ingin makan di rumah saja
kmrn gue jalan bersama tmn	kemarin saya pergi bersama teman
gua sdh minum dan ingin istirahat	saya sudah minum dan ingin istirahat
kmren gw bljr bersama tmn	kemarin saya belajar bersama teman
gw ingin main di rmh saja	saya ingin main di rumah saja
ntar gua jalan setelah mkn	nanti saya pergi setelah makan
gue blm ngbrl tugas dari sklh	saya belum ngobrol tugas dari sekolah
hari ini gua mau belajar dengan lu	hari ini saya mau belajar dengan kamu
besok gue akan belajar ke kampus	besok saya akan belajar ke kampus
gue ga ngantor karena sakit	saya tidak kerja karena sakit
kmrn gua pergi bersama sobat	kemarin saya pergi bersama teman
gue ingin maen di rumah saja	saya ingin main di rumah saja
kmren gua minum bersama tmn	kemarin saya minum bersama teman
gw belom ngantor tugas dari sekolah	saya belum kerja tugas dari sekolah
gua ingin makan di rmh saja	saya ingin makan di rumah saja
gua lagi mnm di sklh	saya sedang minum di sekolah
gw belom makan tugas dari sekolah	saya belum makan tugas dari sekolah
kmren gue ngbrl bersama tmn	kemarin saya ngobrol bersama teman
gua ga pergi karena sakit	saya tidak pergi karena sakit
gw udah ngobrol dan ingin istirahat	saya sudah ngobrol dan ingin istirahat
gua nggak belajar karena sakit	saya tidak belajar karena sakit
gue ingin ngbrl di rumah saja	saya ingin ngobrol di rumah saja
bsk gue akan ngbrl ke kantor	besok saya akan ngobrol ke kantor
gua udah makan dan ingin istirahat	saya sudah makan dan ingin istirahat
gw akan jln jika kamu mau	saya akan pergi jika kamu mau
gua ingin kerja di rmh saja	saya ingin kerja di rumah saja
ntar gw bljr setelah makan	nanti saya belajar setelah makan
gw sdh pergi dan ingin istirahat	saya sudah pergi dan ingin istirahat
gua nggak minum karena sakit	saya tidak minum karena sakit
gue lg maen di warung	saya sedang main di warung
ntr gua tdr setelah mkn	nanti saya tidur setelah makan
ntar gw mkn setelah mkn	nanti saya makan setelah makan
kmren gua main bersama sobat	kemarin saya main bersama teman
kmren gue ngobrol bersama sobat	kemarin saya ngobrol bersama teman
gw nggak mkn karena sakit	saya tidak makan karena sakit
gue ingin belajar di rumah saja	saya ingin belajar di rumah saja
gw ingin bobok di rumah saja	saya ingin tidur di rumah saja
kmren gue ngobrol bersama tmn	kemarin saya ngobrol bersama teman
gue ingin bljr di rmh saja	saya ingin belajar di rumah saja
gua sdh belajar dan ingin istirahat	saya sudah belajar dan ingin istirahat
gua belom jln tugas dari sklh	saya belum pergi tugas dari sekolah
ntr gue kerja setelah mkn	nanti saya kerja setelah makan
gw ingin maen di rumah saja	saya ingin main di rumah saja
kmrn gue jalan bersama tmn	kemarin saya pergi bersama teman
gua gk bobok karena sakit	saya tidak tidur karena sakit
hari ini gw mo ngantor dengan lu	hari ini saya mau kerja dengan kamu
ntr gue belajar setelah makan	nanti saya belajar setelah makan
kmrn gue bljr bersama sobat	kemarin saya belajar bersama teman
gw lagi bljr di rmh	saya sedang belajar di rumah
hari ini gue mau bobok dengan kamu	hari ini saya mau tidur dengan kamu
besok gw akan pergi ke kantor	besok saya akan pergi ke kantor
kmrn gw ngbrl bersama tmn	kemarin saya ngobrol bersama teman
kmren gue belajar bersama tmn	kemarin saya belajar bersama teman
gw ingin minum di rmh saja	saya ingin minum di rumah saja
ntar gua ngantor setelah makan	nanti saya kerja setelah makan
gw ingin mnm di rmh saja	saya ingin minum di rumah saja
ntr gw makan setelah makan	nanti saya makan setelah makan
gua belom bobok tugas dari sekolah	saya belum tidur tugas dari sekolah
gua akan mnm jika kamu mau	saya akan minum jika kamu mau
gua lagi bobok di kampus	saya sedang tidur di kampus
gw blm minum tugas dari sekolah	saya belum minum tugas dari sekolah
gw blm mnm tugas dari sekolah	saya belum minum tugas dari sekolah
hari ini gw mau pergi dengan kamu	hari ini saya mau pergi dengan kamu
ntr gua ngantor setelah mkn	nanti saya kerja setelah makan
ntar gw makan setelah makan	nanti saya makan setelah makan
gua akan minum jika lu mau	saya akan minum jika kamu mau
gw ingin maen di rmh saja	saya ingin main di rumah saja
gue ingin mkn di rmh saja	saya ingin makan di rumah saja
ntr gw ngobrol setelah makan	nanti saya ngobrol setelah makan
hari ini gw mo tdr dengan lu	hari ini saya mau tidur dengan kamu
gw akan kerja jika lo mau	saya akan kerja jika kamu mau
kmrn gua makan bersama sobat	kemarin saya makan bersama teman
gue ga ngobrol karena sakit	saya tidak ngobrol karena sakit
gw akan belajar jika kamu mo	saya akan belajar jika kamu mau
gua udah mkn dan ingin istirahat	saya sudah makan dan ingin istirahat
gw lagi ngobrol di kampus	saya sedang ngobrol di kampus
gua lg maen di kampus	saya sedang main di kampus
gw akan jalan jika lu mo	saya akan pergi jika kamu mau
gue ingin ngobrol di rmh saja	saya ingin ngobrol di rumah saja
kmren gua maen bersama tmn	kemarin saya main bersama teman
ntar gua pergi setelah mkn	nanti saya pergi setelah makan
gue lg ngobrol di rmh	saya sedang ngobrol di rumah
gue ga mnm karena sakit	saya tidak minum karena sakit
gue nggak ngobrol karena sakit	saya tidak ngobrol karena sakit
ntar gua bobok setelah mkn	nanti saya tidur setelah makan
gw sdh jalan dan ingin istirahat	saya sudah pergi dan ingin istirahat
gua belom bobok tugas dari sklh	saya belum tidur tugas dari sekolah
gue belom makan tugas dari sekolah	saya belum makan tugas dari sekolah
besok gw akan makan ke warung	besok saya akan makan ke warung
hari ini gue mau makan dengan lu	hari ini saya mau makan dengan kamu
gue ga ngobrol karena sakit	saya tidak ngobrol karena sakit
bsk gue akan mkn ke sekolah	besok saya akan makan ke sekolah
gw lagi belajar di warung	saya sedang belajar di warung
ntar gw makan setelah makan	nanti saya makan setelah makan
gw nggak ngobrol karena sakit	saya tidak ngobrol karena sakit
gue ingin bobok di rumah saja	saya ingin tidur di rumah saja
bsk gua akan ngobrol ke warung	besok saya akan ngobrol ke warung
gue lg ngbrl di kampus	saya sedang ngobrol di kampus
gue lg bljr di sklh	saya sedang belajar di sekolah
besok gue akan jalan ke kampus	besok saya akan pergi ke kampus
gw belom main tugas dari sekolah	saya belum main tugas dari sekolah
gue udah ngobrol dan ingin istirahat	saya sudah ngobrol dan ingin istirahat
gue nggak main karena sakit	saya tidak main karena sakit
gw sdh jln dan ingin istirahat	saya sudah pergi dan ingin istirahat
hari ini gw mau bobok dengan kamu	hari ini saya mau tidur dengan kamu
ntr gua maen setelah makan	nanti saya main setelah makan
gw akan makan jika lo mau	saya akan makan jika kamu mau
gw blm ngbrl tugas dari sklh	saya belum ngobrol tugas dari sekolah
gua nggak ngobrol karena sakit	saya tidak ngobrol karena sakit
ntar gw mnm setelah mkn	nanti saya minum setelah makan
hari ini gw mo tdr dengan lo	hari ini saya mau tidur dengan kamu
gue ga jalan karena sakit	saya tidak pergi karena sakit
gue gk ngbrl karena sakit	saya tidak ngobrol karena sakit
gue ingin belajar di rmh saja	saya ingin belajar di rumah saja
kmren gue ngantor bersama tmn	kemarin saya kerja bersama teman
gue ingin ngbrl di rumah saja	saya ingin ngobrol di rumah saja
kmren gua makan bersama tmn	kemarin saya makan bersama teman
gw gk jln karena sakit	saya tidak pergi karena sakit
gua ingin maen di rmh saja	saya ingin main di rumah saja
gw udah jln dan ingin istirahat	saya sudah pergi dan ingin istirahat
gue ga ngobrol karena sakit	saya tidak ngobrol karena sakit
bsk gw akan mnm ke kafe	besok saya akan minum ke kafe
gua lagi tdr di sklh	saya sedang tidur di sekolah
ntr gua jln setelah mkn	nanti saya pergi setelah makan
gue blm maen tugas dari sklh	saya belum main tugas dari sekolah
gue lagi belajar di kafe	saya sedang belajar di kafe
kmren gua ngantor bersama tmn	kemarin saya kerja bersama teman
ntar gua ngbrl setelah makan	nanti saya ngobrol setelah makan
gue akan belajar jika kamu mo	saya akan belajar jika kamu mau
gua belom belajar tugas dari sekolah	saya belum belajar tugas dari sekolah
gua nggak maen karena sakit	saya tidak main karena sakit
gw belom mnm tugas dari sekolah	saya belum minum tugas dari sekolah
gw sdh tdr dan ingin istirahat	saya sudah tidur dan ingin istirahat
hari ini gw mo main dengan lo	hari ini saya mau main dengan kamu
gue lg tdr di warung	saya sedang tidur di warung
ntar gue ngantor setelah mkn	nanti saya kerja setelah makan
gw akan tdr jika lu mo	saya akan tidur jika kamu mau
gua lagi kerja di rumah	saya sedang kerja di rumah
gw sdh makan dan ingin istirahat	saya sudah makan dan ingin istirahat
gue akan minum jika kamu mau	saya akan minum jika kamu mau
hari ini gue mo minum dengan lu	hari ini saya mau minum dengan kamu
gue akan ngobrol jika lu mo	saya akan ngobrol jika kamu mau
bsk gw akan makan ke rumah	besok saya akan makan ke rumah
gua nggak belajar karena sakit	saya tidak belajar karena sakit
bsk gue akan bobok ke warung	besok saya akan tidur ke warung
ntr gw tdr setelah makan	nanti saya tidur setelah makan
gua lg tdr di kantor	saya sedang tidur di kantor
ntr gw mkn setelah mkn	nanti saya makan setelah makan
ntr gua bobok setelah makan	nanti saya tidur setelah makan
kmrn gua ngantor bersama tmn	kemarin saya kerja bersama teman
gw blm bobok tugas dari sekolah	saya belum tidur tugas dari sekolah
gw belom ngobrol tugas dari sekolah	saya belum ngobrol tugas dari sekolah
hari ini gue mo mkn dengan kamu	hari ini saya mau makan dengan kamu
gua nggak minum karena sakit	saya tidak minum karena sakit
gw belom bljr tugas dari sekolah	saya belum belajar tugas dari sekolah
bsk gue akan jln ke kafe	besok saya akan pergi ke kafe
gw gk jln karena sakit	saya tidak pergi karena sakit
gua nggak ngbrl karena sakit	saya tidak ngobrol karena sakit
gw ingin main di rumah saja	saya ingin main di rumah saja
gua sdh kerja dan ingin istirahat	saya sudah kerja dan ingin istirahat
gw udah pergi dan ingin istirahat	saya sudah pergi dan ingin istirahat
ntr gua mkn setelah makan	nanti saya makan setelah makan
ntr gua ngobrol setelah makan	nanti saya ngobrol setelah makan
hari ini gue mo tdr dengan lo	hari ini saya mau tidur dengan kamu
gue ingin belajar di rumah saja	saya ingin belajar di rumah saja
hari ini gua mo ngantor dengan kamu	hari ini saya mau kerja dengan kamu
gue blm mnm tugas dari sklh	saya belum minum tugas dari sekolah
gw udah belajar dan ingin istirahat	saya sudah belajar dan ingin istirahat
gw blm mkn tugas dari sekolah	saya belum makan tugas dari sekolah
ntr gua tdr setelah mkn	nanti saya tidur setelah makan
gua udah ngobrol dan ingin istirahat	saya sudah ngobrol dan ingin istirahat
hari ini gue mau mkn dengan lo	hari ini saya mau makan dengan kamu
bsk gw akan jalan ke warung	besok saya akan pergi ke warung
ntr gue maen setelah makan	nanti saya main setelah makan
kmren gua ngbrl bersama tmn	kemarin saya ngobrol bersama teman
ntar gw makan setelah mkn	nanti saya makan setelah makan
gua lg ngantor di kafe	saya sedang kerja di kafe
kmrn gue mkn bersama tmn	kemarin saya makan bersama teman
bsk gue akan makan ke kantor	besok saya akan makan ke kantor
gw blm main tugas dari sklh	saya belum main tugas dari sekolah
